mask_pixel_count,mask_coverage_percent,object_true_size,norm_pixel_x,norm_pixel_y,norm_distance_from_center,focal_length,object_scale,analytical_depth,angular_size,scale_normalized_pixel_count,estimated_bbox_side,target_distance,scene_id,cube_name,scene_dir
13401.0,4.3623046875,1.1377687406100192,3.8480624074162506,-3.2133109093096115,6.967931702604926,35.0,0.5688843703050096,5.419707548541107,0.043623046875,41408.47182360996,115.76268828944843,7.551228678401725,0.0,cube_1,scene_0000
9493.0,3.0901692708333335,1.1672937327140527,2.40431393439197,-1.523033997439632,3.8957737914756803,35.0,0.5836468663570263,6.606460939554517,0.030901692708333334,27867.830775346123,97.43202758846806,9.158012595407108,0.0,cube_2,scene_0000
6172.0,2.0091145833333335,0.8537456976449606,2.7436279417860283,-1.836666720335884,4.555119558754707,35.0,0.4268728488224803,5.992472196136871,0.020091145833333334,33871.06501602017,78.56207736560943,8.43113788722101,1.0,cube_1,scene_0001
8673.0,2.8232421875,0.9888980974304467,5.2813872165797,-6.414089292345255,11.28558936783123,35.0,0.4944490487152233,5.855410219924827,0.028232421875,35475.3145597249,93.1289428695505,8.102413001311389,1.0,cube_2,scene_0001
24372.0,7.933593749999999,1.1824137087556998,8.287654922249404,-6.8890624770606586,15.293111158257984,35.0,0.5912068543778499,4.176517733485431,0.0793359375,69728.80915892441,156.11534197509224,6.010780478709775,2.0,cube_1,scene_0002
7559.0,2.4606119791666665,1.0678921605760883,2.9840346125042543,-3.251942866633192,6.005604379487198,35.0,0.5339460802880441,6.773071869154485,0.024606119791666665,26513.651281157756,86.94250974063263,9.366771441876436,2.0,cube_2,scene_0002
7153.0,2.3284505208333335,0.8951858508367566,4.288981254305737,-4.408242913545494,8.452405097845327,35.0,0.4475929254183783,5.836594948304729,0.023284505208333334,35704.404825521095,84.57541013793548,8.037144131775435,3.0,cube_1,scene_0003
12001.0,3.906575520833333,1.0422398120557308,4.0529710256181675,-3.1112565720785734,7.148126646964689,35.0,0.5211199060278654,5.246255034035626,0.03906575520833333,44191.84258773006,109.54907576059234,7.3494694213052965,3.0,cube_2,scene_0003
5349.0,1.7412109374999998,0.8944192358949739,3.129919583359593,-4.199189650661868,7.035965691729899,35.0,0.4472096179474869,6.743654163142156,0.017412109375,26745.475750563703,73.13685801290619,9.435975698620704,4.0,cube_1,scene_0004
5616.0,1.828125,1.019760739558801,1.9138699506643142,-1.705019869260487,3.4812288729761156,35.0,0.5098803697794005,7.503695403180701,0.01828125,21601.8285543769,74.93997598078077,10.529056487147448,4.0,cube_2,scene_0004
9045.0,2.9443359375,1.0491606779558809,3.0313067793788626,-2.419845860157311,5.35536699478152,35.0,0.5245803389779404,6.083145128036253,0.029443359375,32868.853248672334,95.10520490488415,8.957250126335294,5.0,cube_1,scene_0005
8621.0,2.806315104166667,1.0120159418255246,2.707732936335389,-1.8102548259859215,4.490360372884162,35.0,0.5060079709127623,6.010339295910987,0.028063151041666668,33669.98545820809,92.84934033152847,8.48793674164872,5.0,cube_2,scene_0005
12652.0,4.118489583333333,1.1173360335046651,3.6073838255522945,-2.792849383526575,6.350799148355253,35.0,0.5586680167523326,5.477654947638026,0.04118489583333333,40536.99627564191,112.48110952511092,7.585262375049979,6.0,cube_1,scene_0006
7518.0,2.447265625,1.034593768329186,2.9394914274838797,-1.8456714992850167,4.812275434167077,35.0,0.517296884164593,6.579746409421991,0.02447265625,28094.583384892692,86.70640114778148,8.079524524586034,6.0,cube_2,scene_0006
2630.0,0.8561197916666667,0.929533105933265,2.34874137059281,-2.7023488840218666,4.84942652049377,35.0,0.4647665529666325,9.994876819232545,0.008561197916666667,12175.477870793098,51.28352561983234,9.946441575266183,7.0,cube_1,scene_0007
15350.0,4.996744791666666,1.0331152023613421,5.397878751046559,-4.291834588494922,9.719938836603621,35.0,0.5165576011806711,4.598169967997622,0.049967447916666664,57526.886110624255,123.89511693363868,6.5710417247121775,7.0,cube_2,scene_0007
12795.0,4.1650390625,0.8906823437524195,8.295162243050287,-7.215588387249777,15.53321915267174,35.0,0.44534117187620975,4.342033365656445,0.041650390625,64514.092866652405,113.11498574459532,6.226495538440549,8.0,cube_1,scene_0008
11500.0,3.7434895833333335,1.1245056182120101,3.4306902989122734,-3.388784395314281,6.615459793052935,35.0,0.5622528091060051,5.782333917675466,0.037434895833333336,36377.64433361158,107.23805294763608,8.240975199145822,8.0,cube_2,scene_0008
8933.0,2.9078776041666665,0.9852029431260085,7.173817499720842,-9.12076556134412,15.726001959508402,35.0,0.49260147156300427,5.748009692759878,0.029078776041666667,36813.39953293054,94.51454914456292,8.101677043735792,9.0,cube_1,scene_0009
9878.0,3.215494791666667,0.9854886141368686,5.073114878861902,-5.223766703011813,10.035677336852556,35.0,0.4927443070684343,5.467736265562994,0.03215494791666667,40684.20098603395,99.38812806366765,7.930751423215372,9.0,cube_2,scene_0009
7732.0,2.5169270833333335,1.0285610378759653,2.858373917401311,-2.8096300967926187,5.4783019697248605,35.0,0.5142805189379827,6.4502211461085475,0.025169270833333333,29234.232624563607,87.93179174792243,8.91548580025549,10.0,cube_1,scene_0010
5288.0,1.7213541666666665,1.0613890135604702,2.8906517271600753,-3.5445993892008305,6.17961175299923,35.0,0.5306945067802351,8.048581071221221,0.017213541666666665,18775.96477989174,72.71863585079137,9.547529924095002,10.0,cube_2,scene_0010
3975.0,1.2939453125,0.9809518214039274,2.3685809870864545,-1.8939111785684408,4.14618504290757,35.0,0.4904759107019637,8.579649963442089,0.012939453125,16523.489488574072,63.047601064592456,9.622215997081963,11.0,cube_1,scene_0011
